      -2.000        0.154       -0.003
      -1.800        0.175       -0.008
      -1.600        0.196       -0.013
      -1.400        0.225       -0.012
      -1.200        0.264        0.002
      -1.000        0.280       -0.007
      -0.800        0.317        0.009
      -0.600        0.325       -0.001
      -0.400        0.348        0.009
      -0.200        0.350        0.002
      -0.000        0.341       -0.009
       0.200        0.344       -0.003
       0.400        0.343        0.004
       0.600        0.332        0.006
       0.800        0.306       -0.002
       1.000        0.281       -0.005
       1.200        0.256       -0.006
       1.400        0.252        0.015
       1.600        0.202       -0.008
       1.800        0.186        0.003
       2.000        0.177        0.020
       2.200        0.121       -0.011
       2.400        0.113        0.002
       2.600        0.116        0.025
       2.800        0.080        0.007
       3.000        0.075        0.017
       3.200        0.040       -0.006
       3.400        0.040        0.005
       3.600        0.027        0.001
       3.800        0.032        0.012
       4.000        0.021        0.007
       4.200        0.001       -0.009
       4.400        0.009        0.002
       4.600        0.006        0.001
       4.800        0.010        0.006
       5.000        0.012        0.009
       5.200       -0.005       -0.007
       5.400       -0.003       -0.004
       5.600        0.001        0.001
       5.800        0.008        0.008
       6.000       -0.017       -0.018
       6.200        0.004        0.004
       6.400        0.003        0.003
       6.600        0.012        0.012
       6.800        0.013        0.013
       7.000        0.010        0.010
       7.200       -0.009       -0.009
       7.400       -0.007       -0.007
       7.600        0.002        0.002
       7.800        0.012        0.012
       8.000       -0.004       -0.004
       8.200        0.006        0.006
       8.400       -0.002       -0.002
       8.600        0.004        0.004
       8.800       -0.001       -0.001
       9.000       -0.019       -0.019
       9.200       -0.002       -0.002
       9.400       -0.000       -0.000
       9.600       -0.003       -0.003
       9.800       -0.008       -0.008
      10.000       -0.003       -0.003
      10.200       -0.007       -0.007
      10.400        0.003        0.003
      10.600        0.003        0.003
      10.800        0.008        0.008
      11.000       -0.017       -0.017
      11.200       -0.008       -0.008
      11.400       -0.017       -0.017
      11.600        0.010        0.010
      11.800       -0.004       -0.004
